twitter	name	h_index	h_2014	i10_index	i10_2014	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
aaugh	Paul Yee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abakik	A. Baki Kocaballi	8	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	8	10	11	9	6	10	8	29	85
abaldovi	Andrea Baldovin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a_ballatore	Andrea Ballatore	17	17	29	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	50	58	93	137	163	159	201
abaranya	Alexander Baranya	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	2	2
abaruchi	Artur Baruchi	4	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	2	1	4	9	13	4	3
abasilak	Andreas Vasilakis	7	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	9	10	23	29	23	15	22	15
abasu007	Arnab Basu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abdallah_dib	Abdallah Dib	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	6	3	2	5	16	6	4
abdulawal	Mohammad Abdul Awal	7	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	6	13	11	48	23	11	9	23	4	8	7	12
AbdullahRashed	Abdullah Rashed	6	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	4	3	4	13	14	8	11	4	11	8
abdulrahman6484	Abdul Rahman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abdur	Abdur Chowdhury	45	30	95	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	36	76	80	121	202	302	320	458	498	582	567	679	637	659	700	523	382	273
AbduSalamSayyad	Abdel Salam Sayyad	7	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	59	69	83	63	115	87
abeastinme	Jose Sanchez	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	5	29
abegel	Andrew Begel	29	27	54	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	15	17	44	48	53	61	78	111	142	176	215	215	301	382	362	355	434	431
abelardopardo	Abelardo Pardo	33	25	99	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	79	123	148	180	126	126	146	139	156	148	149	161	161	138	171	214	226	240	265	285	380	462	559	647
abentolima	Alexandre A. B. Lima	12	7	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	3	3	1	4	9	9	15	32	35	40	85	47	40	28	34	30	35	24	25
abergstrom	Tony Bergstrom	10	8	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	53	41	41	48	50	50	51	47	61	50	49
abgoldberg	Andrew B. Goldberg	24	18	41	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	19	24	14	10	15	6	11	10	25	55	104	208	228	300	296	343	389	421	429	453	445
abhi2610	Abhinav Shrivastava	15	15	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	48	103	188	219	415	796	1127
abhiag	Abhinav Agarwal	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	5	3	2	3	9
