,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CaptSolo       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.36E+02,1.69E+03,1.08E+03
RichardMcDougll,0.00E+00,3.00E+00,0.00E+00,8.90E+01,1.61E+02,7.10E+01,1.10E+02,9.30E+01,2.80E+01,7.20E+01,8.00E+00,2.00E+00,1.80E+01,9.00E+00
mamund         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.45E+03,1.77E+03
briankelly     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+03,1.21E+03,2.71E+02,1.58E+02,1.51E+02,9.50E+01,2.50E+01
dumbledad      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.04E+02,4.41E+02,5.45E+02,5.58E+02,2.85E+02,1.81E+02,2.45E+02,2.45E+02,1.72E+02,2.50E+02
terraces       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
digiphile      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03
ehrlichja      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
morville       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.81E+02,1.39E+03,8.77E+02,5.83E+02
lackaff        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+02,3.26E+02,4.22E+02,4.59E+02,5.11E+02,4.70E+02,4.19E+02,1.34E+02,1.59E+02
timbray        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+03,1.88E+03
danbri         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+03
Fortran        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.35E+02
nancybaym      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E+02,2.95E+03
vendorprisey   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E+03,1.99E+03
jhkchan        ,0.00E+00,0.00E+00,0.00E+00,8.00E+00,2.10E+01,3.70E+01,4.90E+02,2.36E+02,5.60E+01,4.10E+01,2.30E+01,7.00E+00,4.00E+00,0.00E+00
